"filename", "language", "JSON with Comments", "Properties", "JavaScript", "Markdown", "Log", "JavaScript JSX", "TypeScript", "CSS", "JSON", "Prisma", "SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Workspace\own\horizon\frontend\src\Components\PostCard\PostModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\Workspace\own\horizon\frontend\src\Components\Profile\ChangePassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 1, 12, 226
"d:\Workspace\own\horizon\frontend\src\Components\Profile\EditProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 23, 14, 322
"d:\Workspace\own\horizon\frontend\src\Components\Profile\Intro.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 3, 17, 296
"d:\Workspace\own\horizon\frontend\src\Components\Protect\Protected.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Workspace\own\horizon\frontend\src\Components\Story\CreateStory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 554, 0, 0, 0, 0, 0, 0, 0, 14, 28, 596
"d:\Workspace\own\horizon\frontend\src\Components\Story\LeftSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Workspace\own\horizon\frontend\src\Components\Story\RightSide.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 20, 19, 417
"d:\Workspace\own\horizon\frontend\src\Constants\index.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"d:\Workspace\own\horizon\frontend\src\Pages\ActivationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 4, 33
"d:\Workspace\own\horizon\frontend\src\Pages\AdminPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Workspace\own\horizon\frontend\src\Pages\CreateGroupPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 15, 12, 275
"d:\Workspace\own\horizon\frontend\src\Pages\CreateLocation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 49, 28, 205
"d:\Workspace\own\horizon\frontend\src\Pages\CreateStoryPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Workspace\own\horizon\frontend\src\Pages\DetailGroupPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Workspace\own\horizon\frontend\src\Pages\ForgetPasswordPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 4, 11, 311
"d:\Workspace\own\horizon\frontend\src\Pages\FriendHomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Workspace\own\horizon\frontend\src\Pages\FriendRequestPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Workspace\own\horizon\frontend\src\Pages\GroupFeedPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Workspace\own\horizon\frontend\src\Pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 6, 53
"d:\Workspace\own\horizon\frontend\src\Pages\MessagePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Workspace\own\horizon\frontend\src\Pages\NoPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Workspace\own\horizon\frontend\src\Pages\PhotoPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Workspace\own\horizon\frontend\src\Pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 11, 136
"d:\Workspace\own\horizon\frontend\src\Pages\SignUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 35, 11, 265
"d:\Workspace\own\horizon\frontend\src\Pages\Signin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 16, 11, 200
"d:\Workspace\own\horizon\frontend\src\Pages\StoriesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\authAction.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 149
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\conversationAction .js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 82
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\friendAction.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 118
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\groupAction.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 95
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\notifyAction .js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\postAction.js", "JavaScript", 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 30, 424
"d:\Workspace\own\horizon\frontend\src\Reduxs\Actions\storyAction.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 66
"d:\Workspace\own\horizon\frontend\src\Reduxs\Middleware\socket.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 35, 273
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\alertReducer.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\authReducer.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
